ID,F.Name,L.Name,Phone,Email,Title,Designation
1,Tushar,Dutta,9119900000abcd,tushar12@gmail.com,Mr,Manager
2,Supreet,Singh,9897645676,supreet34@gamil.com,Mr,A.Manager
3,Hardik,Malik,7645567862345,hardikmalik@gmail.com,Mr,T.Lead
4,Kamal,Kumar,76453467896,kamal@gmail.com,Mr,Intern
5,Sahil,Sharma,6756456789,sahil435@gmail.com,Mr,Tech.Lead
6,Harsh,Singla,9867456756,harsh@gmail.com,Mrs,IT Manager
7,Dhruv,Vachair,9867453467,dhruv32@gmail.com,Mr,Manager
8,Mukul,Tomar,3245678594,,Mr,Intern
9,Harry,,7635462787,harry8787@gmail.com,Miss,Intern
10,,Sharma,9878675645,ravi34@gmail.com,Mr,Intern
